,id,from,at,to,open,close,min,max,volume
118,4159209,2025-10-15 06:50:00,2025-10-15 06:51:00,2025-10-15 06:51:00,1.122725,1.122945,1.121985,1.123085,0
119,4159210,2025-10-15 06:51:00,2025-10-15 06:52:00,2025-10-15 06:52:00,1.122945,1.122065,1.122065,1.123685,0
120,4159211,2025-10-15 06:52:00,2025-10-15 06:53:00,2025-10-15 06:53:00,1.122095,1.122845,1.121735,1.122995,0
121,4159212,2025-10-15 06:53:00,2025-10-15 06:54:00,2025-10-15 06:54:00,1.122855,1.123315,1.122815,1.123685,0
122,4159213,2025-10-15 06:54:00,2025-10-15 06:55:00,2025-10-15 06:55:00,1.123445,1.124235,1.123445,1.124515,0
123,4159214,2025-10-15 06:55:00,2025-10-15 06:56:00,2025-10-15 06:56:00,1.124345,1.122655,1.122645,1.124415,0
124,4159215,2025-10-15 06:56:00,2025-10-15 06:57:00,2025-10-15 06:57:00,1.122675,1.122915,1.122625,1.123705,0
125,4159216,2025-10-15 06:57:00,2025-10-15 06:58:00,2025-10-15 06:58:00,1.122925,1.121455,1.121435,1.123215,0
126,4159217,2025-10-15 06:58:00,2025-10-15 06:59:00,2025-10-15 06:59:00,1.121465,1.121765,1.120625,1.121865,0
127,4159218,2025-10-15 06:59:00,2025-10-15 07:00:00,2025-10-15 07:00:00,1.121825,1.121315,1.121075,1.121885,0
128,4159219,2025-10-15 07:00:00,2025-10-15 07:01:00,2025-10-15 07:01:00,1.121185,1.121165,1.120995,1.122185,0
129,4159220,2025-10-15 07:01:00,2025-10-15 07:02:00,2025-10-15 07:02:00,1.121155,1.121665,1.121155,1.122135,0
130,4159221,2025-10-15 07:02:00,2025-10-15 07:03:00,2025-10-15 07:03:00,1.121685,1.122695,1.121665,1.122805,0
131,4159222,2025-10-15 07:03:00,2025-10-15 07:04:00,2025-10-15 07:04:00,1.122665,1.122425,1.121785,1.123385,0
132,4159223,2025-10-15 07:04:00,2025-10-15 07:05:00,2025-10-15 07:05:00,1.122295,1.121715,1.121315,1.122815,0
133,4159224,2025-10-15 07:05:00,2025-10-15 07:06:00,2025-10-15 07:06:00,1.121715,1.122155,1.121445,1.122855,0
134,4159225,2025-10-15 07:06:00,2025-10-15 07:07:00,2025-10-15 07:07:00,1.122155,1.121375,1.121335,1.122925,0
135,4159226,2025-10-15 07:07:00,2025-10-15 07:08:00,2025-10-15 07:08:00,1.121305,1.121025,1.121025,1.121935,0
136,4159227,2025-10-15 07:08:00,2025-10-15 07:09:00,2025-10-15 07:09:00,1.121105,1.121835,1.121045,1.122105,0
137,4159228,2025-10-15 07:09:00,2025-10-15 07:10:00,2025-10-15 07:10:00,1.121925,1.121775,1.121205,1.121955,0
138,4159229,2025-10-15 07:10:00,2025-10-15 07:11:00,2025-10-15 07:11:00,1.121685,1.122265,1.121445,1.122415,0
139,4159230,2025-10-15 07:11:00,2025-10-15 07:12:00,2025-10-15 07:12:00,1.122235,1.121325,1.120595,1.122305,0
140,4159231,2025-10-15 07:12:00,2025-10-15 07:13:00,2025-10-15 07:13:00,1.121325,1.120245,1.120225,1.121415,0
141,4159232,2025-10-15 07:13:00,2025-10-15 07:14:00,2025-10-15 07:14:00,1.120075,1.118735,1.118735,1.120245,0
142,4159233,2025-10-15 07:14:00,2025-10-15 07:15:00,2025-10-15 07:15:00,1.118385,1.117905,1.117905,1.118805,0
143,4159234,2025-10-15 07:15:00,2025-10-15 07:16:00,2025-10-15 07:16:00,1.118045,1.117315,1.117315,1.118485,0
144,4159235,2025-10-15 07:16:00,2025-10-15 07:17:00,2025-10-15 07:17:00,1.117375,1.118215,1.117095,1.118255,0
145,4159236,2025-10-15 07:17:00,2025-10-15 07:18:00,2025-10-15 07:18:00,1.118285,1.117685,1.117345,1.118445,0
146,4159237,2025-10-15 07:18:00,2025-10-15 07:19:00,2025-10-15 07:19:00,1.117595,1.117725,1.116455,1.118045,0
147,4159238,2025-10-15 07:19:00,2025-10-15 07:20:00,2025-10-15 07:20:00,1.117785,1.119735,1.117785,1.119735,0
148,4159239,2025-10-15 07:20:00,2025-10-15 07:21:00,2025-10-15 07:21:00,1.119645,1.119055,1.118645,1.119645,0
149,4159240,2025-10-15 07:21:00,2025-10-15 07:22:00,2025-10-15 07:22:00,1.119005,1.118545,1.118315,1.119065,0
150,4159241,2025-10-15 07:22:00,2025-10-15 07:23:00,2025-10-15 07:23:00,1.118675,1.118195,1.117345,1.118675,0
151,4159242,2025-10-15 07:23:00,2025-10-15 07:24:00,2025-10-15 07:24:00,1.118095,1.116625,1.116615,1.118095,0
152,4159243,2025-10-15 07:24:00,2025-10-15 07:25:00,2025-10-15 07:25:00,1.116635,1.117095,1.116335,1.117515,0
153,4159244,2025-10-15 07:25:00,2025-10-15 07:26:00,2025-10-15 07:26:00,1.117105,1.117375,1.116915,1.117805,0
154,4159245,2025-10-15 07:26:00,2025-10-15 07:27:00,2025-10-15 07:27:00,1.117255,1.115955,1.115825,1.117355,0
155,4159246,2025-10-15 07:27:00,2025-10-15 07:28:00,2025-10-15 07:28:00,1.115795,1.115795,1.115435,1.116765,0
156,4159247,2025-10-15 07:28:00,2025-10-15 07:29:00,2025-10-15 07:29:00,1.115745,1.114385,1.114245,1.115745,0
157,4159248,2025-10-15 07:29:00,2025-10-15 07:30:00,2025-10-15 07:30:00,1.114465,1.114325,1.114275,1.115045,0
158,4159249,2025-10-15 07:30:00,2025-10-15 07:31:00,2025-10-15 07:31:00,1.114325,1.114185,1.113065,1.114325,0
159,4159250,2025-10-15 07:31:00,2025-10-15 07:32:00,2025-10-15 07:32:00,1.114235,1.113995,1.113595,1.114555,0
160,4159251,2025-10-15 07:32:00,2025-10-15 07:33:00,2025-10-15 07:33:00,1.113875,1.114115,1.113465,1.114615,0
161,4159252,2025-10-15 07:33:00,2025-10-15 07:34:00,2025-10-15 07:34:00,1.114065,1.115395,1.113855,1.115395,0
162,4159253,2025-10-15 07:34:00,2025-10-15 07:35:00,2025-10-15 07:35:00,1.115455,1.116145,1.115175,1.116245,0
163,4159254,2025-10-15 07:35:00,2025-10-15 07:36:00,2025-10-15 07:36:00,1.115995,1.115005,1.114945,1.116055,0
164,4159255,2025-10-15 07:36:00,2025-10-15 07:37:00,2025-10-15 07:37:00,1.114935,1.114635,1.114635,1.115425,0
165,4159256,2025-10-15 07:37:00,2025-10-15 07:38:00,2025-10-15 07:38:00,1.114695,1.115215,1.114665,1.115975,0
166,4159257,2025-10-15 07:38:00,2025-10-15 07:39:00,2025-10-15 07:39:00,1.115115,1.115495,1.114705,1.115565,0
167,4159258,2025-10-15 07:39:00,2025-10-15 07:40:00,2025-10-15 07:40:00,1.115455,1.114945,1.114865,1.115865,0
168,4159259,2025-10-15 07:40:00,2025-10-15 07:41:00,2025-10-15 07:41:00,1.114905,1.116385,1.114845,1.116455,0
169,4159260,2025-10-15 07:41:00,2025-10-15 07:42:00,2025-10-15 07:42:00,1.116295,1.115485,1.115375,1.116375,0
170,4159261,2025-10-15 07:42:00,2025-10-15 07:43:00,2025-10-15 07:43:00,1.115515,1.115365,1.114395,1.115615,0
171,4159262,2025-10-15 07:43:00,2025-10-15 07:44:00,2025-10-15 07:44:00,1.115485,1.114955,1.114675,1.115985,0
172,4159263,2025-10-15 07:44:00,2025-10-15 07:45:00,2025-10-15 07:45:00,1.115015,1.115545,1.114895,1.115545,0
173,4159264,2025-10-15 07:45:00,2025-10-15 07:46:00,2025-10-15 07:46:00,1.115595,1.116065,1.115415,1.116385,0
174,4159265,2025-10-15 07:46:00,2025-10-15 07:47:00,2025-10-15 07:47:00,1.116045,1.114425,1.114425,1.116145,0
175,4159266,2025-10-15 07:47:00,2025-10-15 07:48:00,2025-10-15 07:48:00,1.114415,1.115795,1.114315,1.116175,0
176,4159267,2025-10-15 07:48:00,2025-10-15 07:49:00,2025-10-15 07:49:00,1.115835,1.116355,1.115515,1.116485,0
177,4159268,2025-10-15 07:49:00,2025-10-15 07:50:00,2025-10-15 07:50:00,1.116355,1.115905,1.115095,1.116355,0
178,4159269,2025-10-15 07:50:00,2025-10-15 07:51:00,2025-10-15 07:51:00,1.115795,1.115555,1.115385,1.116225,0
179,4159270,2025-10-15 07:51:00,2025-10-15 07:52:00,2025-10-15 07:52:00,1.115655,1.115255,1.115095,1.116005,0
180,4159271,2025-10-15 07:52:00,2025-10-15 07:53:00,2025-10-15 07:53:00,1.115355,1.115325,1.114625,1.116055,0
181,4159272,2025-10-15 07:53:00,2025-10-15 07:54:00,2025-10-15 07:54:00,1.115265,1.115455,1.114725,1.115865,0
182,4159273,2025-10-15 07:54:00,2025-10-15 07:55:00,2025-10-15 07:55:00,1.115415,1.114755,1.114755,1.115735,0
183,4159274,2025-10-15 07:55:00,2025-10-15 07:56:00,2025-10-15 07:56:00,1.114855,1.114605,1.113905,1.115405,0
184,4159275,2025-10-15 07:56:00,2025-10-15 07:57:00,2025-10-15 07:57:00,1.114575,1.114395,1.114245,1.114915,0
185,4159276,2025-10-15 07:57:00,2025-10-15 07:58:00,2025-10-15 07:58:00,1.114375,1.113725,1.113635,1.114515,0
186,4159277,2025-10-15 07:58:00,2025-10-15 07:59:00,2025-10-15 07:59:00,1.113635,1.114305,1.113135,1.115095,0
187,4159278,2025-10-15 07:59:00,2025-10-15 08:00:00,2025-10-15 08:00:00,1.114365,1.112275,1.111875,1.114365,0
188,4159279,2025-10-15 08:00:00,2025-10-15 08:01:00,2025-10-15 08:01:00,1.112195,1.112235,1.111855,1.112645,0
189,4159280,2025-10-15 08:01:00,2025-10-15 08:02:00,2025-10-15 08:02:00,1.112115,1.111415,1.110885,1.112115,0
190,4159281,2025-10-15 08:02:00,2025-10-15 08:03:00,2025-10-15 08:03:00,1.111485,1.111925,1.111135,1.111945,0
191,4159282,2025-10-15 08:03:00,2025-10-15 08:04:00,2025-10-15 08:04:00,1.111775,1.112205,1.111635,1.112715,0
192,4159283,2025-10-15 08:04:00,2025-10-15 08:10:00,2025-10-15 08:05:00,1.112225,1.111475,1.110805,1.112415,0
193,4159284,2025-10-15 08:10:00,2025-10-15 08:11:00,2025-10-15 08:11:00,1.111475,1.164905,1.111475,1.164905,0
194,4159285,2025-10-15 08:11:00,2025-10-15 08:12:00,2025-10-15 08:12:00,1.164965,1.165155,1.164625,1.165205,0
